timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 09:24:06.457, 0, 185.56 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:06.459, 1, 187.14 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:06.461, 2, 179.43 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:06.462, 3, 182.19 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:06.464, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:06.466, 5, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:06.468, 6, 180.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:06.469, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 0, 185.56 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 1, 186.94 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 2, 179.51 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 3, 181.80 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 5, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:07.471, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.471, 0, 185.56 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.472, 1, 186.87 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.472, 2, 179.51 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.472, 3, 182.06 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.472, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.472, 5, 179.39 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.472, 6, 180.02 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:08.472, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 0, 185.56 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 1, 186.11 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 2, 179.55 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 3, 181.76 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 5, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 6, 180.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:09.472, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 0, 185.56 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 1, 185.76 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 2, 179.44 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 3, 181.76 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 5, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 6, 180.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:10.472, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 1, 185.68 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 2, 179.43 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 3, 181.77 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 5, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:11.472, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 1, 185.68 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 2, 179.44 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 3, 181.53 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 5, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:12.473, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 1, 185.68 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 2, 179.45 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 3, 181.38 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 5, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 6, 180.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:13.473, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 1, 185.68 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 2, 179.45 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 3, 181.38 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 5, 179.35 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:14.473, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.473, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.473, 1, 185.68 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.473, 2, 179.44 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.473, 3, 181.37 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.473, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.473, 5, 179.39 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.474, 6, 180.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:15.474, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 1, 185.68 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 2, 179.43 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 3, 181.34 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 5, 179.39 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 6, 180.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:16.474, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 2, 179.44 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 5, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 6, 180.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:17.474, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 2, 179.53 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 3, 181.38 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 4, 181.30 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 5, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 6, 180.10 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:18.474, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.474, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.474, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.474, 2, 179.49 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.474, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.474, 4, 182.02 W, 34, 150 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.475, 5, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.475, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:19.475, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 4, 181.76 W, 34, 150 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 5, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:20.475, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 0, 185.34 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 4, 181.38 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 5, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:21.475, 7, 182.25 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:22.475, 0, 184.63 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:22.475, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 09:24:22.475, 2, 179.45 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
