timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 16:25:08.118, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:08.121, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:08.123, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:08.125, 3, 181.38 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:08.127, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:08.130, 5, 179.07 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:08.132, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:08.135, 7, 182.13 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 3, 181.38 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 5, 178.93 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 6, 180.13 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:09.137, 7, 182.13 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.137, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.137, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.137, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.137, 3, 181.34 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.137, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.137, 5, 179.08 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.137, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:10.138, 7, 182.13 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:11.138, 0, 185.45 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:11.138, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:11.138, 2, 179.45 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:11.138, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:11.138, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 16:25:11.138, 5, 178.92 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
