timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/22 02:15:37.629, 0, 183.25 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:37.634, 1, 184.99 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:37.636, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:37.638, 3, 178.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:37.639, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:37.641, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:37.643, 6, 177.72 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:37.645, 7, 180.35 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 0, 183.25 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 1, 184.64 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 6, 177.56 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:38.647, 7, 180.39 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 0, 183.17 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 1, 184.23 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 6, 177.65 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:39.647, 7, 180.52 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 0, 182.98 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 1, 183.64 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 6, 177.64 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:40.647, 7, 180.46 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.647, 0, 182.43 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.647, 1, 183.29 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.647, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.647, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.647, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.648, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.648, 6, 177.64 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:41.648, 7, 180.57 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 0, 181.91 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 1, 183.34 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 6, 177.65 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:42.648, 7, 180.27 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 0, 181.41 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 1, 183.26 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 6, 177.66 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:43.648, 7, 180.53 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 0, 181.30 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 1, 183.27 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 6, 177.74 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:44.648, 7, 180.49 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 0, 181.30 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 1, 183.28 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 5, 178.64 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 6, 177.74 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:45.649, 7, 180.59 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 0, 181.30 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 1, 183.27 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 6, 177.71 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:46.649, 7, 180.46 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 0, 181.30 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 1, 183.25 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 6, 177.79 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:47.649, 7, 180.56 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.649, 0, 181.30 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.650, 1, 183.25 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.650, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.650, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.650, 4, 180.57 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.650, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.650, 6, 177.79 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:48.650, 7, 180.75 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 0, 181.30 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 1, 183.25 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 2, 176.00 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 4, 180.57 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 6, 177.92 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:49.650, 7, 180.44 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 0, 181.30 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 1, 183.25 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 2, 176.00 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 3, 178.05 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 6, 177.83 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:50.650, 7, 180.66 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.650, 0, 183.21 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.650, 1, 184.78 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.650, 2, 176.70 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.650, 3, 178.01 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.651, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.651, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.651, 6, 177.74 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:51.651, 7, 180.56 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 0, 182.86 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 1, 185.20 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 2, 177.93 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 3, 179.87 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 4, 181.52 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 6, 177.81 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:52.651, 7, 180.67 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 0, 181.30 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 1, 183.79 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 2, 176.85 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 3, 179.53 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 4, 182.47 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 5, 180.39 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 6, 178.57 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:53.651, 7, 180.40 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 0, 181.30 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 1, 183.25 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 2, 176.00 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 3, 177.94 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 4, 181.21 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 5, 180.58 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 6, 181.42 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:54.651, 7, 181.14 W, 30, 127 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 0, 181.30 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 1, 183.25 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 2, 176.00 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 3, 177.60 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 5, 178.80 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 6, 180.38 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:55.652, 7, 183.39 W, 30, 127 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 0, 181.30 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 1, 183.25 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 2, 175.93 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 3, 177.74 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 6, 177.93 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:56.652, 7, 182.34 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 0, 181.30 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 1, 183.25 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 2, 175.97 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 3, 177.67 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 6, 178.20 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:57.652, 7, 181.00 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.652, 0, 181.30 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.652, 1, 183.25 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.652, 2, 175.74 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.652, 3, 177.41 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.653, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.653, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.653, 6, 177.82 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:58.653, 7, 180.83 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 0, 181.30 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 1, 183.25 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 2, 175.92 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 3, 177.37 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 6, 177.96 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:15:59.655, 7, 180.65 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 0, 181.30 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 1, 183.21 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 2, 175.66 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 3, 177.44 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 6, 178.06 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:00.655, 7, 180.95 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 0, 181.26 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 1, 183.21 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 2, 175.50 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 3, 177.43 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 6, 178.02 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:01.655, 7, 180.92 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.655, 0, 181.26 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.655, 1, 182.94 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.655, 2, 175.42 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.656, 3, 176.91 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.656, 4, 180.58 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.656, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.656, 6, 177.95 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:02.656, 7, 180.74 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 0, 181.11 W, 38, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 1, 182.62 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 2, 175.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 3, 176.78 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 4, 180.57 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 6, 178.01 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:03.656, 7, 181.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 0, 180.79 W, 38, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 1, 182.87 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 2, 175.26 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 3, 176.67 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 4, 180.57 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 5, 178.64 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 6, 177.94 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:04.656, 7, 180.74 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:05.656, 0, 180.84 W, 38, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:05.656, 1, 182.23 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:05.656, 2, 175.39 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/22 02:16:05.656, 3, 176.66 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
