timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 11:07:51.159, 0, 187.33 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:51.161, 1, 187.64 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:51.163, 2, 181.36 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:51.165, 3, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:51.167, 4, 183.17 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:51.168, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:51.170, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:51.172, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 0, 186.74 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 1, 187.64 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 2, 181.41 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 3, 183.25 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:52.174, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 0, 185.60 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 1, 187.64 W, 44, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 2, 181.40 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 3, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 4, 183.21 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:53.174, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 1, 187.56 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 2, 181.35 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 3, 183.13 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 4, 183.09 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:54.174, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 1, 187.40 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 2, 181.29 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 3, 183.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 4, 183.21 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:55.175, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 1, 186.20 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 2, 181.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 3, 182.83 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 4, 183.21 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:56.175, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 0, 185.56 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 1, 185.76 W, 43, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 2, 180.63 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 3, 182.82 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:57.175, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.175, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.175, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.175, 2, 180.00 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.175, 3, 182.68 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.175, 4, 183.13 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.175, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.176, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:58.176, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 2, 179.91 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 3, 182.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:07:59.176, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 2, 179.77 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 3, 181.60 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:00.176, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 2, 179.73 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 3, 181.60 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 4, 183.25 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 6, 180.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:01.176, 7, 184.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.176, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.177, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.177, 2, 179.97 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.177, 3, 181.41 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.177, 4, 182.90 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.177, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.177, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:02.177, 7, 184.01 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 0, 185.56 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 1, 185.68 W, 42, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 2, 180.40 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 3, 181.41 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 4, 182.59 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:03.177, 7, 183.97 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 0, 185.17 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 2, 179.76 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 3, 181.34 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 4, 182.93 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:04.177, 7, 184.05 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.177, 0, 184.48 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.177, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.177, 2, 179.62 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.177, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.177, 4, 182.94 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.177, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.178, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:05.178, 7, 183.98 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 0, 183.84 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 3, 181.33 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 4, 183.02 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:06.178, 7, 183.97 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 0, 183.80 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 2, 179.47 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 3, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 4, 182.94 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:07.178, 7, 183.97 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 0, 183.61 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 3, 181.34 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 4, 182.97 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:08.178, 7, 183.89 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.178, 0, 183.61 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.179, 1, 185.68 W, 41, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.179, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.179, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.179, 4, 183.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.179, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.179, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:09.179, 7, 183.97 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 1, 185.68 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 4, 183.02 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 5, 179.46 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:10.179, 7, 183.98 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 1, 185.68 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 2, 179.46 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 4, 183.09 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:11.179, 7, 184.01 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.179, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.179, 1, 185.67 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.179, 2, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.179, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.179, 4, 183.09 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.179, 5, 179.47 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.180, 6, 180.17 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 11:08:12.180, 7, 184.05 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
