timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/09/20 15:27:03.807, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:03.809, 1, 185.68 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:03.811, 2, 179.42 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:03.812, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:03.814, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:03.816, 5, 178.22 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:03.818, 6, 179.70 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:03.819, 7, 182.13 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 1, 185.68 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 2, 179.44 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 5, 177.90 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 6, 179.44 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:04.821, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.821, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.821, 1, 185.68 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.821, 2, 179.44 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.821, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.821, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.821, 5, 177.63 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.821, 6, 179.86 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:05.822, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 1, 185.64 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 2, 179.42 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 5, 177.63 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 6, 179.55 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:06.822, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.822, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.822, 1, 185.57 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.822, 2, 179.43 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.823, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.823, 4, 181.30 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.823, 5, 177.83 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.823, 6, 179.79 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:07.823, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.823, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.824, 1, 185.41 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.824, 2, 179.41 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.824, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.824, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.824, 5, 177.98 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.824, 6, 179.82 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:08.824, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 1, 185.49 W, 40, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 2, 179.39 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 5, 178.06 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 6, 179.94 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:09.824, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 0, 183.61 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 1, 185.22 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 2, 179.42 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 5, 177.91 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 6, 179.94 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:10.824, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.824, 0, 183.61 W, 38, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.824, 1, 184.94 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.824, 2, 179.43 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.824, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.824, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.824, 5, 178.20 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.824, 6, 180.02 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:11.825, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 0, 183.61 W, 38, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 1, 184.38 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 2, 179.42 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 5, 178.29 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 6, 180.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:12.825, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 0, 183.61 W, 38, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 1, 184.26 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 2, 179.43 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 3, 181.29 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 5, 178.49 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 6, 180.06 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:13.825, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 0, 183.61 W, 38, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 1, 184.39 W, 39, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 2, 179.44 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 3, 181.30 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 4, 181.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 5, 178.51 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 6, 180.01 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/09/20 15:27:14.825, 7, 182.13 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
