pair_id,kind,label,concurrency,baseline_case,comparison_case,metric,baseline_value,comparison_value,absolute_change,percent_change
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,duration_s,456.0760755040683,434.5755269480869,-21.5005485559814,-4.7142460898038512275192803706957071280707831268180
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,output_tok_s,636.91567175268073445042738043827805716189766104065,668.42696375468035919126457609917835310016032210282,31.51129200199962474083719566090029593826266106217,4.9474825945617024096245095581764734928218152654500
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,output_tok_s_gpu,159.22891793817018361260684510956951429047441526016,167.10674093867008979781614402479458827504008052570,7.87782300049990618520929891522507398456566526554,4.9474825945617024096245095581764734928218152654500
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,interactivity_tok_s_user,174.72359370603609916123407696942379506570961934027,178.41066474223270504533855776337432273805880586680,3.68707103619660588410448079395052767234918652653,2.1102307696348797468206186572706234536702490203900
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,mean_ttft_ms,1509.6797549515031,847.8851234423928,-661.7946315091103,-43.836756062902212512684163476780804156519334778453
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,median_ttft_ms,245.0982565060258,280.73527314700186,35.63701664097606,14.539889899257571958473126563805779801423512500880
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,std_ttft_ms,3370.313978472993,1126.2206035374159,-2244.0933749355771,-66.584104308059780046705749518856402350839834330376
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p90_ttft_ms,4844.390874914828,2545.974792353809,-2298.416082561019,-47.444893319047645273621717414213589632278258276622
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99_ttft_ms,13958.70077089872,4284.688607058487,-9674.012163840233,-69.304531436111437719983299612797460158749908255690
precision-4-c4,precision,TP=EP=DP4: W4A16 / W4A4 - 1,4,w4a4-tp4-ep4-dp4-c4,w4a16-tp4-ep4-dp4-c4,p99.9_ttft_ms,13996.216966762673,4569.708900499628,-9426.508066263045,-67.350399673344001277175664962747091789822057497203
