case_id,precision,tp,ep,dp,concurrency,date,backend,model_id,tokenizer_id,best_of,num_prompts,request_rate,burstiness,max_concurrency,duration,benchmark_start_time_unix,benchmark_end_time_unix,completed,total_input_tokens,total_output_tokens,request_throughput,request_goodput:,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p90_ttft_ms,p99_ttft_ms,p99.9_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p90_tpot_ms,p99_tpot_ms,p99.9_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p90_itl_ms,p99_itl_ms,p99.9_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p90_e2el_ms,p99_e2el_ms,p99.9_e2el_ms,benchmark_outcome.status,benchmark_outcome.requested,benchmark_outcome.completed,benchmark_outcome.failed,benchmark_outcome.max_failure_rate
w4a4-tp4-ep4-dp4-c4,w4a4,4,4,4,4,20260924-100944,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,40,inf,1.0,4,456.0760755040683,1790244127.9327703,1790244584.0088465,40,37148,290482,0.08770466627917471,,636.9156717526807,718.3669953261503,1509.6797549515031,245.0982565060258,3370.313978472993,4844.390874914828,13958.70077089872,13996.216966762673,5.882333520108171,5.723325503952552,0.5381850424134239,6.453618257860107,7.321368042407048,7.351158990300479,565.4770454387219,342.33419224619865,516.3859658948895,1205.918268486857,2558.606014978135,4009.992179505537,44273.88115610229,43268.27514870092,6162.386484835678,51884.46737695485,61403.22756118141,62722.33967799975,passed,40,40,0,0.05
w4a4-tp4-ep4-dp4-c8,w4a4,4,4,4,8,20260924-102556,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,80,inf,1.0,8,541.5900072851218,1790245014.901564,1790245556.4915714,80,73937,588640,0.14771321280653493,,1086.8738198304839,1223.3922175214436,1463.997278752504,259.1405622661114,2403.849298748521,4494.132741913201,10631.936576366425,10671.859552539885,6.973693392530062,6.892697014155176,0.5233883640938438,7.458876802537773,8.566305036803225,8.684211544404212,723.3691656395623,407.8848110511899,1229.3433409640736,1447.6201888173819,3427.9540656134627,11415.063417309111,52741.828849498415,51822.81578658149,5453.817397721994,59454.92250756361,66526.96082686073,68149.97337916029,passed,80,80,0,0.05
w4a4-tp4-ep4-dp4-c16,w4a4,4,4,4,16,20260924-104438,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,160,inf,1.0,16,631.4630752750672,1790246046.5275373,1790246677.990613,160,148067,1179960,0.2533798194459803,,1868.6128234592431,2103.095259246168,1647.0511435327353,282.58236357942224,2586.7120589341453,5112.269163411109,10981.089341645122,15066.944017323229,8.141120766105827,8.1034911212928,0.519393701101425,8.814314022476596,9.678017264323794,9.935308412731255,824.8347257333538,471.1611610837281,1277.3334493678242,1707.9725128598513,3914.0711166150777,9511.323718015867,61679.553377613775,61305.74003071524,5963.705480425641,69318.72195214964,76526.44835690966,81330.1966333329,passed,160,160,0,0.05
w4a4-tp4-ep4-dp4-c32,w4a4,4,4,4,32,20260924-110455,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,320,inf,1.0,32,739.7185411113314,1790247155.3860357,1790247895.1045773,320,294748,2373563,0.4325969706251264,,3208.7380105871466,3607.1976727678175,1971.4945357161923,279.818695737049,3182.350491679036,6603.872660268099,14605.671539828183,20248.82870850348,9.430705916769481,9.353322611891535,0.7028222124032972,10.220464303832884,11.880850501989547,12.23648909952277,974.0402285077072,592.085525393486,1284.5792080532901,2001.794546842575,4605.316597386263,11220.353920210671,71907.58279516158,71543.6879855115,7512.148502274592,81831.88862870449,92342.68756618258,95755.77774325068,passed,320,320,0,0.05
w4a4-tp4-ep4-dp4-c64,w4a4,4,4,4,64,20260924-112807,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,640,inf,1.0,64,870.1409717127681,1790248417.3942487,1790249287.5352216,640,590968,4727285,0.7355130039908784,,5432.780611048468,6111.944125021096,2097.208162219613,343.33820547908545,5589.2757994117,5398.912299936637,12475.280780587364,67021.35804578164,10.776766181086332,10.719237951421652,0.9296081206285739,11.79274671630558,13.898242974429001,16.759551892957862,1109.7250051550714,687.4651713296771,1709.4360774848035,2269.7183021809906,5425.585859781124,17453.482787729074,81695.70177808055,81145.81291098148,10208.64542809117,91758.33700313233,119165.3064846015,147777.67263447135,passed,640,640,0,0.05
w4a4-tp4-ep4-dp4-c128,w4a4,4,4,4,128,20260924-095522,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,1280,inf,1.0,128,1051.3382067200728,1790242671.105442,1790243722.443649,1280,1181744,9428519,1.2174959416659061,,8968.112201890537,10092.150111334313,1837.0850399835035,464.9120944086462,4571.118097468528,4494.916263176134,10153.73193264008,74667.04519223905,13.414212942687959,13.341156584815453,1.2125434298973479,14.680460182095787,16.94884423412689,21.36638283018752,1370.8668166287098,850.6165319122374,1908.9095558288134,2829.783289507032,6600.584241459138,17658.5126269284,100657.30448821196,99978.10303443111,12100.660178134956,115033.2541414071,131070.6626942102,181777.00733278564,passed,1280,1280,0,0.05
w4a16-tp4-ep4-dp4-c4,w4a16,4,4,4,4,20260924-140810,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,40,inf,1.0,4,434.5755269480869,1790258455.4425707,1790258890.0180972,40,37148,290482,0.09204383937795531,,668.4269637546803,753.9080773849875,847.8851234423928,280.73527314700186,1126.2206035374159,2545.974792353809,4284.688607058487,4569.708900499628,5.699160322817133,5.6050460965705025,0.41291048104815176,6.183297620955512,6.944606259076511,7.1823194961430445,605.2792740916234,305.9278288856149,1257.5136787362242,1182.2913275100293,2952.436204142857,23850.03497085216,42203.59129565768,42085.954890120775,3572.0083909543155,46398.71722813696,50903.16046481486,53035.90308025995,passed,40,40,0,0.05
w4a16-tp4-ep4-dp4-c8,w4a16,4,4,4,8,20260924-142437,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,80,inf,1.0,8,542.9567544953898,1790259334.0013568,1790259876.9581115,80,73937,588640,0.1473413846271237,,1084.1379080863762,1220.3126575260717,1744.4735843513627,291.48018499836326,2849.789500046431,5216.452958388254,12482.857187236641,14534.15527436465,6.9693072744609506,6.935837895334174,0.47076671652405544,7.5604234182516326,8.157511592717594,8.411840197066836,704.3061862045811,389.72541433759034,959.806960303716,1416.2281301338226,3359.9545857915523,11864.688131452023,53017.96376561979,52516.27638633363,5489.706237467291,60491.101174801595,67979.4990731543,68789.83455001518,passed,80,80,0,0.05
w4a16-tp4-ep4-dp4-c16,w4a16,4,4,4,16,20260924-144345,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,160,inf,1.0,16,632.004141418729,1790260393.6822035,1790261025.686345,160,148067,1179960,0.2531628980165074,,1867.0130821472378,2101.294774776052,1422.2409636015072,288.36644627153873,2069.2300262187127,4300.138068711384,8636.921613761224,10421.736741489747,8.21692900782951,8.134201538409307,0.5058270219381699,8.862936764921136,9.511344293646774,10.695631064539848,842.6598079264365,455.79652790911496,1236.9245842641578,1711.2636122852566,4255.847447356213,11614.796826746622,61977.88127538515,61704.70246882178,5445.632196616755,69114.73674494773,74906.41434347723,76524.98563972303,passed,160,160,0,0.05
w4a16-tp4-ep4-dp4-c32,w4a16,4,4,4,32,20260924-150526,vllm,glm52,/data/home/ziangli/inferencex-glm52-b300/checkpoints/GLM-5.2-NVFP4,1,320,inf,1.0,32,780.9569979058579,1790261545.9018145,1790262326.8588123,320,294748,2373563,0.4097536751166613,,3039.3005074091498,3416.7194956381672,1670.3021925903158,371.92091648466885,2241.3090530878435,4646.503241406755,10089.80596904643,12443.286848672296,10.063363740932372,10.013804306043074,0.7172305130606201,10.969531670809442,12.235964456865922,13.031422219521469,1035.7022553731679,570.7812421023846,1773.522215389344,2078.6883761174977,5066.097374446718,22369.124486791265,76308.83237467206,76164.12097285502,7355.938069078535,85826.2488191016,96776.63973254153,100733.89789805336,passed,320,320,0,0.05
