case_id,precision,tp,ep,dp,concurrency,completed,duration_s,input_tokens,output_tokens,output_tok_s,output_tok_s_gpu,interactivity_tok_s_user,result_sha256,case_manifest_sha256,sglang_commit,flashinfer_commit,image,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p90_ttft_ms,p99_ttft_ms,p99.9_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p90_tpot_ms,p99_tpot_ms,p99.9_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p90_itl_ms,p99_itl_ms,p99.9_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p90_e2el_ms,p99_e2el_ms,p99.9_e2el_ms,warmup_requests,server_capacity,effective_capacity_per_dp,effective_prefill_per_dp,failed,graph_max_batch_decode
w4a4-tp4-ep4-dp4-c4,w4a4,4,4,4,4,40,456.0760755040683,37148,290482,636.9156717526807,159.22891793817018,174.7235937060361,749ab334698fd7c788e19a057f8eedfaaa76fd096c21a2ce2daeec832cce7ace,653c56a64d31f818e79b0c44a45355716adadac35067edb26b395346c115dabd,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1509.6797549515031,245.0982565060258,3370.313978472993,4844.390874914828,13958.70077089872,13996.216966762673,5.882333520108171,5.723325503952552,0.5381850424134239,6.453618257860107,7.321368042407048,7.351158990300479,565.4770454387219,342.33419224619865,516.3859658948895,1205.918268486857,2558.606014978135,4009.992179505537,44273.88115610229,43268.27514870092,6162.386484835678,51884.46737695485,61403.22756118141,62722.33967799975,8,4,1,8192,0,4
w4a4-tp4-ep4-dp4-c8,w4a4,4,4,4,8,80,541.5900072851218,73937,588640,1086.8738198304839,271.71845495762096,145.0810906015964,8fc1cfeff1e68e64649d2765101c5f38718f3b1a2629a8ea30f6e423a2bae0fc,13f6eb56934d1fd5b18c4c0f783bfa47f17e015eba0e21d5198bcadca350dfc4,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1463.997278752504,259.1405622661114,2403.849298748521,4494.132741913201,10631.936576366425,10671.859552539885,6.973693392530062,6.892697014155176,0.5233883640938438,7.458876802537773,8.566305036803225,8.684211544404212,723.3691656395623,407.8848110511899,1229.3433409640736,1447.6201888173819,3427.9540656134627,11415.063417309111,52741.828849498415,51822.81578658149,5453.817397721994,59454.92250756361,66526.96082686073,68149.97337916029,16,8,2,8192,0,8
w4a4-tp4-ep4-dp4-c16,w4a4,4,4,4,16,160,631.4630752750672,148067,1179960,1868.6128234592431,467.1532058648108,123.403602846234,8c5bcc0a0c88e2e0515a66098bf54f7afce522e231e336079083423db7955daa,83790c8976ea8a7083531b346e2ad8ced0c6e3133fe4c6d10933074ff814e7f1,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1647.0511435327353,282.58236357942224,2586.7120589341453,5112.269163411109,10981.089341645122,15066.944017323229,8.141120766105827,8.1034911212928,0.519393701101425,8.814314022476596,9.678017264323794,9.935308412731255,824.8347257333538,471.1611610837281,1277.3334493678242,1707.9725128598513,3914.0711166150777,9511.323718015867,61679.553377613775,61305.74003071524,5963.705480425641,69318.72195214964,76526.44835690966,81330.1966333329,32,16,4,8192,0,16
w4a4-tp4-ep4-dp4-c32,w4a4,4,4,4,32,320,739.7185411113314,294748,2373563,3208.7380105871466,802.1845026467867,106.91387878876645,fda4b3e6e3cc1b48cee09a8b1bdeefeba1688bc66125ffc353a5c6e6058e4f25,2fe737c3f3d3dfb5898201aac4a46e12a66eb106613955c95c8469c3998cdc60,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1971.4945357161923,279.818695737049,3182.350491679036,6603.872660268099,14605.671539828183,20248.82870850348,9.430705916769481,9.353322611891535,0.7028222124032972,10.220464303832884,11.880850501989547,12.23648909952277,974.0402285077072,592.085525393486,1284.5792080532901,2001.794546842575,4605.316597386263,11220.353920210671,71907.58279516158,71543.6879855115,7512.148502274592,81831.88862870449,92342.68756618258,95755.77774325068,64,32,8,8192,0,32
w4a4-tp4-ep4-dp4-c64,w4a4,4,4,4,64,640,870.1409717127681,590968,4727285,5432.780611048468,1358.195152762117,93.2902137756326,0553be7951b7ca64b88caf19c013582d71ad83c0ee50a530eda309e8aea6290d,9d4451a3bb4fb8604981db425544a566dbfbd03318135121cb1242f45afa2842,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,2097.208162219613,343.33820547908545,5589.2757994117,5398.912299936637,12475.280780587364,67021.35804578164,10.776766181086332,10.719237951421652,0.9296081206285739,11.79274671630558,13.898242974429001,16.759551892957862,1109.7250051550714,687.4651713296771,1709.4360774848035,2269.7183021809906,5425.585859781124,17453.482787729074,81695.70177808055,81145.81291098148,10208.64542809117,91758.33700313233,119165.3064846015,147777.67263447135,128,64,16,8192,0,64
w4a4-tp4-ep4-dp4-c128,w4a4,4,4,4,128,1280,1051.3382067200728,1181744,9428519,8968.112201890537,2242.0280504726343,74.95602001539906,c3dcac2156c863b0c0c7c4b8c9b2ed64a14727c7fd030e0c4a5d3f1a870a4214,b7fb8344321af0b66c8a270c0011cc07af859a6e192b815bab22bcc210dcf382,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1837.0850399835035,464.9120944086462,4571.118097468528,4494.916263176134,10153.73193264008,74667.04519223905,13.414212942687959,13.341156584815453,1.2125434298973479,14.680460182095787,16.94884423412689,21.36638283018752,1370.8668166287098,850.6165319122374,1908.9095558288134,2829.783289507032,6600.584241459138,17658.5126269284,100657.30448821196,99978.10303443111,12100.660178134956,115033.2541414071,131070.6626942102,181777.00733278564,256,128,32,8192,0,128
w4a16-tp4-ep4-dp4-c4,w4a16,4,4,4,4,40,434.5755269480869,37148,290482,668.4269637546803,167.10674093867007,178.4106647422327,e5feaa159d42b247cd566734459b6d39508c203ca407955248aee0bb35a8e592,078800e47b2c24ba28a459e95dbb75db0f006b6981193be2fff4348dfb71bd78,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,847.8851234423928,280.73527314700186,1126.2206035374159,2545.974792353809,4284.688607058487,4569.708900499628,5.699160322817133,5.6050460965705025,0.41291048104815176,6.183297620955512,6.944606259076511,7.1823194961430445,605.2792740916234,305.9278288856149,1257.5136787362242,1182.2913275100293,2952.436204142857,23850.03497085216,42203.59129565768,42085.954890120775,3572.0083909543155,46398.71722813696,50903.16046481486,53035.90308025995,8,4,1,8192,0,4
w4a16-tp4-ep4-dp4-c8,w4a16,4,4,4,8,80,542.9567544953898,73937,588640,1084.1379080863762,271.03447702159406,144.1786868566684,834a972b8671271d2aa916bf6adcf332bc5582953227be9ed0e68e338d3a2b5d,032b1dd78d7ca0bd9cd85ff2fb2b05c66245b4a68ad2af19bb3f07aeff9d72a9,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1744.4735843513627,291.48018499836326,2849.789500046431,5216.452958388254,12482.857187236641,14534.15527436465,6.9693072744609506,6.935837895334174,0.47076671652405544,7.5604234182516326,8.157511592717594,8.411840197066836,704.3061862045811,389.72541433759034,959.806960303716,1416.2281301338226,3359.9545857915523,11864.688131452023,53017.96376561979,52516.27638633363,5489.706237467291,60491.101174801595,67979.4990731543,68789.83455001518,16,8,2,8192,0,8
w4a16-tp4-ep4-dp4-c16,w4a16,4,4,4,16,160,632.004141418729,148067,1179960,1867.0130821472378,466.75327053680945,122.93769650014795,42f61ce82f03ccb551d88c00183875c72f3f4311cb8b123d03b218e81db8b680,195cc33464872e2bcedf7c140dc4edc66a8a38845d72009f77b03a0137f7fc15,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1422.2409636015072,288.36644627153873,2069.2300262187127,4300.138068711384,8636.921613761224,10421.736741489747,8.21692900782951,8.134201538409307,0.5058270219381699,8.862936764921136,9.511344293646774,10.695631064539848,842.6598079264365,455.79652790911496,1236.9245842641578,1711.2636122852566,4255.847447356213,11614.796826746622,61977.88127538515,61704.70246882178,5445.632196616755,69114.73674494773,74906.41434347723,76524.98563972303,32,16,4,8192,0,16
w4a16-tp4-ep4-dp4-c32,w4a16,4,4,4,32,320,780.9569979058579,294748,2373563,3039.3005074091498,759.8251268522874,99.86214723574393,d8a17f1df649c50f72596820d7002431d428e815b86b41c4adbd5d0399911b03,20aacd5701596be4f36d46389fbe98befc62ec5be938cd1675cf2185a0ebc4ef,16c1b8638b462ca1b896e2b76d5c002caf06988b,19e8aebb541684df09e12cc79610338aa429a2cf,lmsysorg/sglang:nightly-dev-cu13-20260924-ffac53d7@sha256:21d494298cea9592b92903f368f8b34c96e908b2eb64ca84fe195c6d1f0e1cd3,1670.3021925903158,371.92091648466885,2241.3090530878435,4646.503241406755,10089.80596904643,12443.286848672296,10.063363740932372,10.013804306043074,0.7172305130606201,10.969531670809442,12.235964456865922,13.031422219521469,1035.7022553731679,570.7812421023846,1773.522215389344,2078.6883761174977,5066.097374446718,22369.124486791265,76308.83237467206,76164.12097285502,7355.938069078535,85826.2488191016,96776.63973254153,100733.89789805336,64,32,8,8192,0,32
